,const,linear_drift,scene_boxcar,scene_hrf
496.0,1.0,-0.5509280217292893,1.0,1.0
497.0,1.0,-0.5500226346763242,1.0,1.0
498.0,1.0,-0.549117247623359,1.0,1.0
499.0,1.0,-0.5482118605703938,1.0,1.0
500.0,1.0,-0.5473064735174287,1.0,1.0
501.0,1.0,-0.5464010864644635,1.0,1.0
502.0,1.0,-0.5454956994114984,1.0,1.0
503.0,1.0,-0.5445903123585333,1.0,1.0
504.0,1.0,-0.5436849253055681,1.0,1.0
505.0,1.0,-0.542779538252603,1.0,1.0
506.0,1.0,-0.5418741511996379,1.0,1.0
507.0,1.0,-0.5409687641466727,1.0,1.0
508.0,1.0,-0.5400633770937076,1.0,1.0
509.0,1.0,-0.5391579900407424,1.0,1.0
510.0,1.0,-0.5382526029877772,1.0,1.0
511.0,1.0,-0.5373472159348122,1.0,1.0
512.0,1.0,-0.536441828881847,1.0,1.0
513.0,1.0,-0.5355364418288818,1.0,1.0
514.0,1.0,-0.5346310547759168,1.0,1.0
515.0,1.0,-0.5337256677229516,1.0,1.0
516.0,1.0,-0.5328202806699864,1.0,1.0
517.0,1.0,-0.5319148936170213,1.0,1.0
518.0,1.0,-0.5310095065640561,1.0,1.0
519.0,1.0,-0.5301041195110909,1.0,1.0
520.0,1.0,-0.5291987324581259,1.0,1.0
521.0,1.0,-0.5282933454051607,1.0,1.0
522.0,1.0,-0.5273879583521955,1.0,1.0
523.0,1.0,-0.5264825712992305,1.0,1.0
524.0,1.0,-0.5255771842462653,1.0,1.0
525.0,1.0,-0.5246717971933001,1.0,1.0
526.0,1.0,-0.523766410140335,1.0,1.0
527.0,1.0,-0.5228610230873698,1.0,1.0
528.0,1.0,-0.5219556360344046,1.0,1.0
